"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Mon Mar 18 2024 00:00:00 GMT+0530 (India Standard Time)","922.35","954.00","908.90","950.70","2.62","1.97","58,052"
"Mon Mar 25 2024 00:00:00 GMT+0530 (India Standard Time)","950.00","969.20","936.05","957.50","0.72","0.07","42,280"
"Mon Apr 01 2024 00:00:00 GMT+0530 (India Standard Time)","958.00","1018.75","958.00","1017.00","6.21","5.57","76,505"
"Mon Apr 08 2024 00:00:00 GMT+0530 (India Standard Time)","1020.40","1068.00","1018.95","1051.55","3.40","2.75","93,388"
"Mon Apr 15 2024 00:00:00 GMT+0530 (India Standard Time)","1020.20","1064.30","1020.20","1025.15","-2.51","-3.16","84,185"
"Mon Apr 22 2024 00:00:00 GMT+0530 (India Standard Time)","1026.05","1095.95","1018.20","1080.05","5.36","4.71","126,076"
"Mon Apr 29 2024 00:00:00 GMT+0530 (India Standard Time)","1092.60","1098.00","1046.40","1054.00","-2.41","-3.06","75,239"
"Mon May 06 2024 00:00:00 GMT+0530 (India Standard Time)","1052.60","1060.00","996.90","1024.60","-2.79","-3.44","80,898"
"Mon May 13 2024 00:00:00 GMT+0530 (India Standard Time)","1025.00","1047.85","985.60","1042.10","1.71","1.06","78,678"
"Mon May 20 2024 00:00:00 GMT+0530 (India Standard Time)","1046.00","1050.00","998.95","1035.40","-0.64","-1.29","65,260"
"Mon May 27 2024 00:00:00 GMT+0530 (India Standard Time)","1031.50","1183.25","1031.50","1160.75","12.11","11.46","323,866"
"Mon Jun 03 2024 00:00:00 GMT+0530 (India Standard Time)","1170.60","1218.00","1050.00","1193.20","2.80","2.15","214,180"
"Mon Jun 10 2024 00:00:00 GMT+0530 (India Standard Time)","1199.95","1240.00","1176.00","1236.15","3.60","2.95","70,176"
"Mon Jun 17 2024 00:00:00 GMT+0530 (India Standard Time)","1259.95","1264.50","1227.20","1229.60","-0.53","-1.18","53,173"
"Mon Jun 24 2024 00:00:00 GMT+0530 (India Standard Time)","1227.60","1249.00","1199.95","1230.65","0.09","-0.56","39,791"
"Mon Jul 01 2024 00:00:00 GMT+0530 (India Standard Time)","1229.60","1356.25","1229.60","1338.15","8.74","8.09","127,181"
"Mon Jul 08 2024 00:00:00 GMT+0530 (India Standard Time)","1340.00","1395.00","1320.45","1378.20","2.99","2.35","138,626"
"Mon Jul 15 2024 00:00:00 GMT+0530 (India Standard Time)","1380.00","1429.95","1380.00","1413.35","2.55","1.90","39,254"
"Mon Jul 22 2024 00:00:00 GMT+0530 (India Standard Time)","1412.00","1453.60","1380.00","1435.25","1.55","0.90","128,599"
"Mon Jul 29 2024 00:00:00 GMT+0530 (India Standard Time)","1446.50","1479.95","1418.55","1443.15","0.55","-0.10","68,091"
"Mon Aug 05 2024 00:00:00 GMT+0530 (India Standard Time)","1360.05","1483.40","1360.05","1471.80","1.99","1.34","318,814"
"Mon Aug 12 2024 00:00:00 GMT+0530 (India Standard Time)","1483.90","1576.65","1427.35","1564.70","6.31","5.67","237,766"
"Mon Aug 19 2024 00:00:00 GMT+0530 (India Standard Time)","1573.45","1694.40","1567.15","1686.00","7.75","7.11","125,742"
"Mon Aug 26 2024 00:00:00 GMT+0530 (India Standard Time)","1699.65","1750.00","1680.00","1734.85","2.90","2.25","69,425"
